                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2272,                  2.677,                 1.8557,                 1.4381,                0.48606,                0.51742,                0.44953,                0.29514,                 0.5098,                0.53586,                0.48471,                0.31497,                    nan,                    nan,                    nan,                    nan,             0.00055178,             0.00055178,             0.00055178
                      2,                 1.3375,                 2.7488,                 1.6352,                 1.4981,                0.53306,                0.57215,                 0.5376,                0.33636,                0.51795,                0.54805,                0.49938,                0.30888,                    nan,                    nan,                    nan,                    nan,              0.0010892,              0.0010892,              0.0010892
                      3,                 1.4194,                 2.8386,                 1.6399,                 1.5549,                0.41999,                0.52312,                0.45876,                0.25667,                 0.5285,                0.36063,                0.42656,                0.25219,                    nan,                    nan,                    nan,                    nan,              0.0016082,              0.0016082,              0.0016082
                      4,                 1.4074,                 2.7616,                 1.5889,                 1.5431,                0.52647,                0.61628,                0.58798,                0.36351,                0.49836,                0.57927,                0.52366,                0.31663,                    nan,                    nan,                    nan,                    nan,              0.0015845,              0.0015845,              0.0015845
                      5,                 1.3535,                 2.6907,                 1.4901,                 1.5091,                0.67531,                0.68754,                0.67448,                0.42832,                0.64855,                0.67847,                0.64428,                0.38559,                    nan,                    nan,                    nan,                    nan,              0.0015845,              0.0015845,              0.0015845
                      6,                 1.3355,                 2.7394,                 1.4239,                 1.4983,                0.65866,                  0.598,                0.63684,                 0.4208,                0.65539,                0.57419,                0.59474,                0.42528,                    nan,                    nan,                    nan,                    nan,               0.001557,               0.001557,               0.001557
                      7,                  1.343,                 2.6483,                 1.4143,                  1.485,                0.74525,                0.63663,                 0.7158,                 0.4738,                0.74524,                0.65037,                0.70627,                0.46432,                    nan,                    nan,                    nan,                    nan,              0.0015295,              0.0015295,              0.0015295
                      8,                 1.2864,                  2.543,                 1.3444,                 1.4595,                0.66845,                0.61477,                 0.6818,                0.45768,                0.66451,                0.60553,                0.66298,                0.42208,                    nan,                    nan,                    nan,                    nan,               0.001502,               0.001502,               0.001502
                      9,                 1.2449,                 2.4507,                 1.2767,                 1.4319,                0.76838,                0.63364,                0.70226,                0.49231,                0.76181,                0.63976,                0.68353,                0.45479,                    nan,                    nan,                    nan,                    nan,              0.0014745,              0.0014745,              0.0014745
                     10,                 1.2708,                 2.5596,                 1.2971,                 1.4496,                0.68848,                0.59423,                0.66704,                0.45033,                0.71376,                 0.6099,                0.66894,                 0.4572,                    nan,                    nan,                    nan,                    nan,               0.001447,               0.001447,               0.001447
                     11,                 1.1916,                 2.4302,                 1.2939,                 1.4038,                0.72487,                0.68815,                0.71633,                0.49575,                0.70554,                0.67001,                0.69494,                 0.5022,                    nan,                    nan,                    nan,                    nan,              0.0014195,              0.0014195,              0.0014195
                     12,                 1.2012,                 2.4343,                   1.22,                 1.4033,                0.81196,                0.66492,                0.72389,                0.50589,                0.78446,                0.64707,                 0.6958,                0.51739,                    nan,                    nan,                    nan,                    nan,              0.0013919,              0.0013919,              0.0013919
                     13,                 1.2045,                 2.3647,                 1.1957,                 1.3988,                0.81286,                0.57564,                0.67494,                0.49491,                0.81286,                0.57564,                0.67213,                0.47196,                    nan,                    nan,                    nan,                    nan,              0.0013644,              0.0013644,              0.0013644
                     14,                 1.1566,                 2.2753,                 1.1496,                 1.3746,                0.76211,                0.65019,                0.71159,                0.50943,                0.74415,                0.64453,                 0.6992,                0.49473,                    nan,                    nan,                    nan,                    nan,              0.0013369,              0.0013369,              0.0013369
                     15,                 1.1365,                 2.3333,                 1.1642,                 1.3669,                0.73768,                0.65781,                0.71853,                0.50747,                0.72961,                0.65186,                0.70251,                0.49357,                    nan,                    nan,                    nan,                    nan,              0.0013094,              0.0013094,              0.0013094
                     16,                 1.1129,                 2.2086,                 1.1432,                 1.3521,                0.68648,                0.61721,                0.67874,                0.47091,                0.67384,                0.60424,                0.65463,                0.46179,                    nan,                    nan,                    nan,                    nan,              0.0012819,              0.0012819,              0.0012819
                     17,                  1.116,                 2.2366,                 1.0965,                 1.3546,                0.75896,                0.70549,                  0.761,                0.52421,                0.72759,                0.69209,                0.73307,                0.51032,                    nan,                    nan,                    nan,                    nan,              0.0012544,              0.0012544,              0.0012544
                     18,                 1.1016,                 2.1917,                 1.0844,                 1.3402,                0.75731,                 0.7426,                0.77725,                0.55428,                0.73822,                0.70865,                0.75307,                0.55017,                    nan,                    nan,                    nan,                    nan,              0.0012269,              0.0012269,              0.0012269
                     19,                 1.1015,                  2.246,                 1.0737,                 1.3621,                0.72206,                0.70717,                0.77698,                0.57582,                0.75408,                0.65964,                 0.7652,                0.54548,                    nan,                    nan,                    nan,                    nan,              0.0011994,              0.0011994,              0.0011994
                     20,                 1.0572,                 2.0798,                 1.0186,                 1.3174,                0.81961,                0.69581,                0.74142,                0.54192,                0.83112,                  0.708,                0.73693,                0.52101,                    nan,                    nan,                    nan,                    nan,              0.0011719,              0.0011719,              0.0011719
                     21,                 1.0828,                 2.2181,                 1.0651,                 1.3275,                0.77586,                 0.7304,                0.76115,                0.55997,                0.79625,                0.69737,                0.74623,                0.53917,                    nan,                    nan,                    nan,                    nan,              0.0011444,              0.0011444,              0.0011444
                     22,                   1.06,                   2.09,                 1.0173,                 1.3199,                0.80853,                0.78167,                0.80709,                0.60712,                0.80718,                0.74855,                0.78729,                0.60263,                    nan,                    nan,                    nan,                    nan,              0.0011169,              0.0011169,              0.0011169
                     23,                 1.0454,                 2.0903,                0.97704,                 1.2979,                 0.7669,                 0.7471,                0.80417,                0.61754,                 0.7976,                0.71821,                0.80065,                0.62084,                    nan,                    nan,                    nan,                    nan,              0.0010894,              0.0010894,              0.0010894
                     24,                 1.0106,                 1.9984,                0.96186,                 1.2767,                0.72957,                0.68396,                0.75777,                0.54926,                0.71629,                0.68415,                0.73437,                0.55308,                    nan,                    nan,                    nan,                    nan,              0.0010619,              0.0010619,              0.0010619
                     25,                0.98328,                 2.0236,                0.93683,                 1.2564,                0.84412,                0.68873,                0.79604,                 0.5803,                0.81545,                0.67088,                0.76409,                0.56154,                    nan,                    nan,                    nan,                    nan,              0.0010344,              0.0010344,              0.0010344
                     26,                 1.0265,                  2.005,                0.96548,                 1.2833,                0.88108,                 0.6581,                0.78912,                0.60392,                0.77849,                0.70035,                0.75415,                  0.587,                    nan,                    nan,                    nan,                    nan,              0.0010069,              0.0010069,              0.0010069
                     27,                 1.0031,                 2.0132,                0.95313,                 1.2716,                0.83318,                0.71691,                0.82282,                0.59481,                0.81887,                0.70511,                0.78609,                0.58714,                    nan,                    nan,                    nan,                    nan,             0.00097936,             0.00097936,             0.00097936
                     28,                 1.0291,                 2.0631,                0.94384,                 1.2844,                0.80353,                0.73127,                 0.7903,                0.59616,                0.79447,                0.72532,                0.77207,                0.58548,                    nan,                    nan,                    nan,                    nan,             0.00095186,             0.00095186,             0.00095186
                     29,                0.98536,                  1.905,                0.89725,                 1.2579,                 0.8353,                0.70151,                 0.7692,                0.56568,                0.81322,                0.68961,                0.74407,                0.58447,                    nan,                    nan,                    nan,                    nan,             0.00092435,             0.00092435,             0.00092435
                     30,                0.98113,                 2.0149,                0.93669,                 1.2512,                 0.8527,                0.66263,                0.80707,                0.62209,                0.84406,                0.65713,                0.79788,                0.60912,                    nan,                    nan,                    nan,                    nan,             0.00089685,             0.00089685,             0.00089685
                     31,                   0.98,                  1.927,                0.86441,                 1.2495,                0.77592,                0.79355,                0.85083,                0.66156,                0.76451,                0.78165,                0.82856,                0.64666,                    nan,                    nan,                    nan,                    nan,             0.00086934,             0.00086934,             0.00086934
                     32,                0.98009,                 1.9509,                0.89819,                 1.2689,                0.80851,                0.70935,                0.80442,                0.61485,                0.78542,                0.68832,                0.76515,                0.60068,                    nan,                    nan,                    nan,                    nan,             0.00084184,             0.00084184,             0.00084184
                     33,                 0.9378,                 1.8703,                0.85461,                 1.2236,                0.78333,                0.71908,                0.80841,                 0.6046,                0.81955,                0.64032,                0.77279,                0.61164,                    nan,                    nan,                    nan,                    nan,             0.00081433,             0.00081433,             0.00081433
                     34,                0.92896,                 1.8536,                0.82228,                 1.2236,                0.89568,                 0.6841,                0.81752,                0.67057,                 0.7765,                0.77937,                 0.8077,                 0.6562,                    nan,                    nan,                    nan,                    nan,             0.00078682,             0.00078682,             0.00078682
                     35,                0.90064,                 1.8115,                0.81101,                  1.199,                0.77312,                0.74884,                0.80556,                0.62855,                0.81493,                0.68873,                0.76926,                0.61312,                    nan,                    nan,                    nan,                    nan,             0.00075932,             0.00075932,             0.00075932
                     36,                0.91036,                 1.8666,                0.82258,                 1.2103,                0.90498,                 0.6931,                 0.8372,                0.65222,                0.87616,                0.67566,                0.81031,                0.64149,                    nan,                    nan,                    nan,                    nan,             0.00073181,             0.00073181,             0.00073181
                     37,                0.90881,                 1.8474,                0.81214,                 1.1935,                0.85908,                0.67502,                0.81209,                0.64543,                0.84321,                0.66312,                0.78873,                0.64065,                    nan,                    nan,                    nan,                    nan,             0.00070431,             0.00070431,             0.00070431
                     38,                0.88423,                 1.7694,                0.77702,                 1.1822,                0.83704,                0.71254,                0.82022,                0.64388,                0.82017,                0.70064,                0.79519,                 0.6337,                    nan,                    nan,                    nan,                    nan,              0.0006768,              0.0006768,              0.0006768
                     39,                0.87914,                 1.7693,                0.76593,                 1.1857,                0.82109,                0.72453,                0.80359,                0.64306,                0.80594,                0.71262,                0.78259,                0.65235,                    nan,                    nan,                    nan,                    nan,              0.0006493,              0.0006493,              0.0006493
                     40,                0.86588,                 1.7738,                0.74905,                 1.1798,                0.81074,                0.70035,                0.77409,                0.60998,                0.80215,                 0.6944,                0.74977,                0.60932,                    nan,                    nan,                    nan,                    nan,             0.00062179,             0.00062179,             0.00062179
                     41,                0.85978,                 1.7274,                0.74525,                 1.1761,                0.76835,                0.73069,                0.79239,                 0.6251,                0.77623,                0.73664,                0.78791,                0.62511,                    nan,                    nan,                    nan,                    nan,             0.00059429,             0.00059429,             0.00059429
                     42,                0.82984,                 1.6751,                0.70584,                  1.152,                0.77802,                0.75509,                0.81434,                0.62215,                0.74929,                0.73128,                0.76441,                0.62712,                    nan,                    nan,                    nan,                    nan,             0.00056678,             0.00056678,             0.00056678
                     43,                0.84595,                 1.7147,                0.71562,                 1.1667,                0.81589,                0.78118,                0.84037,                0.66948,                0.78746,                0.74289,                0.81296,                0.67918,                    nan,                    nan,                    nan,                    nan,             0.00053927,             0.00053927,             0.00053927
                     44,                0.84771,                 1.6973,                 0.7143,                 1.1718,                 0.8224,                0.72779,                0.81355,                  0.646,                0.74243,                 0.7908,                0.78899,                0.64756,                    nan,                    nan,                    nan,                    nan,             0.00051177,             0.00051177,             0.00051177
                     45,                 0.8427,                 1.6833,                0.71094,                 1.1598,                 0.8345,                0.76186,                0.84126,                0.66125,                0.81227,                0.74509,                0.80472,                0.66273,                    nan,                    nan,                    nan,                    nan,             0.00048426,             0.00048426,             0.00048426
                     46,                0.81429,                 1.6286,                0.69433,                 1.1554,                0.79921,                0.72445,                0.82589,                 0.6518,                0.77446,                0.70722,                0.79678,                0.66019,                    nan,                    nan,                    nan,                    nan,             0.00045676,             0.00045676,             0.00045676
                     47,                 0.8015,                  1.622,                0.68559,                   1.14,                0.78843,                0.74106,                0.80566,                0.63346,                0.77329,                0.72983,                0.77811,                0.63583,                    nan,                    nan,                    nan,                    nan,             0.00042925,             0.00042925,             0.00042925
                     48,                 0.7831,                 1.5462,                0.65544,                 1.1296,                 0.8194,                0.71041,                0.82126,                0.66116,                0.80256,                0.69656,                0.78544,                0.66158,                    nan,                    nan,                    nan,                    nan,             0.00040175,             0.00040175,             0.00040175
                     49,                0.79119,                 1.6253,                0.64985,                 1.1354,                 0.8148,                0.76045,                0.83497,                0.65903,                0.81003,                 0.7545,                0.81771,                 0.6827,                    nan,                    nan,                    nan,                    nan,             0.00037424,             0.00037424,             0.00037424
                     50,                0.78186,                 1.5852,                0.64118,                 1.1221,                0.80035,                0.77503,                0.85139,                0.65642,                0.78893,                0.76045,                0.82905,                0.65612,                    nan,                    nan,                    nan,                    nan,             0.00034674,             0.00034674,             0.00034674
                     51,                0.69698,                 1.4172,                0.53661,                 1.1038,                0.79927,                0.76326,                0.84564,                0.65116,                0.78421,                 0.7476,                0.81788,                0.66181,                    nan,                    nan,                    nan,                    nan,             0.00031923,             0.00031923,             0.00031923
                     52,                0.69248,                 1.3496,                0.52855,                 1.0965,                0.85779,                0.73984,                0.82006,                0.65161,                 0.8066,                0.74543,                0.80903,                0.66148,                    nan,                    nan,                    nan,                    nan,             0.00029172,             0.00029172,             0.00029172
                     53,                0.67167,                 1.3239,                0.52567,                 1.0893,                0.84665,                0.75508,                0.84997,                0.66449,                0.79924,                0.77946,                 0.8404,                0.66944,                    nan,                    nan,                    nan,                    nan,             0.00026422,             0.00026422,             0.00026422
                     54,                0.65449,                 1.3048,                0.50864,                 1.0758,                0.84413,                0.78455,                0.85624,                0.67654,                0.80277,                0.80154,                0.83376,                 0.6874,                    nan,                    nan,                    nan,                    nan,             0.00023671,             0.00023671,             0.00023671
                     55,                0.64507,                 1.2696,                0.48034,                 1.0689,                0.78591,                0.78652,                0.83775,                0.66952,                0.78609,                0.78533,                0.82053,                0.68425,                    nan,                    nan,                    nan,                    nan,             0.00020921,             0.00020921,             0.00020921
                     56,                0.64031,                 1.2507,                0.46633,                 1.0642,                0.78291,                0.76641,                0.83342,                0.66442,                0.78291,                0.76641,                 0.8219,                0.67565,                    nan,                    nan,                    nan,                    nan,              0.0001817,              0.0001817,              0.0001817
                     57,                  0.624,                 1.2683,                0.46638,                 1.0574,                0.88389,                0.69973,                 0.8215,                0.65655,                0.87478,                0.69378,                0.81077,                0.67706,                    nan,                    nan,                    nan,                    nan,              0.0001542,              0.0001542,              0.0001542
                     58,                 0.6059,                 1.2008,                0.44188,                 1.0438,                0.83688,                0.72445,                0.82807,                0.65991,                0.80646,                0.71728,                0.81181,                0.67694,                    nan,                    nan,                    nan,                    nan,             0.00012669,             0.00012669,             0.00012669
                     59,                0.61554,                 1.2163,                0.43726,                 1.0505,                0.76828,                0.75471,                0.82675,                0.65612,                0.74435,                0.75478,                0.81067,                0.67895,                    nan,                    nan,                    nan,                    nan,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     60,                0.58854,                 1.1592,                0.42926,                 1.0356,                0.78663,                 0.7652,                0.82189,                0.66616,                0.77943,                 0.7595,                0.81514,                0.67662,                    nan,                    nan,                    nan,                    nan,             7.1681e-05,             7.1681e-05,             7.1681e-05
