                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3617,                 2.9853,                 1.4503,                 1.4422,                0.63795,                0.63005,                0.64833,                0.44965,                0.63485,                0.60589,                0.63398,                0.39824,                    nan,                    nan,                    nan,                    nan,             0.00055498,             0.00055498,             0.00055498
                      2,                 1.3625,                 2.8977,                 1.2545,                 1.4523,                0.69359,                0.64981,                0.70319,                 0.4733,                0.68043,                0.64392,                0.69098,                0.43396,                    nan,                    nan,                    nan,                    nan,               0.001074,               0.001074,               0.001074
                      3,                 1.3349,                   2.87,                 1.2185,                 1.4355,                0.66645,                 0.7301,                0.72755,                0.50247,                0.68294,                0.71645,                0.73163,                0.47655,                    nan,                    nan,                    nan,                    nan,              0.0015563,              0.0015563,              0.0015563
                      4,                 1.3183,                 2.8321,                 1.1972,                 1.4287,                0.68192,                0.69325,                0.71714,                0.51042,                0.69323,                0.70391,                 0.7278,                0.49572,                    nan,                    nan,                    nan,                    nan,               0.001502,               0.001502,               0.001502
                      5,                 1.2586,                 2.7056,                 1.0811,                 1.3752,                0.74894,                0.72352,                0.76141,                0.56697,                 0.7591,                0.72694,                0.76582,                0.54176,                    nan,                    nan,                    nan,                    nan,               0.001502,               0.001502,               0.001502
                      6,                 1.2196,                 2.6456,                 1.0524,                 1.3529,                0.78903,                 0.7332,                0.77859,                0.56927,                 0.7845,                0.73384,                0.77242,                0.54845,                    nan,                    nan,                    nan,                    nan,               0.001447,               0.001447,               0.001447
                      7,                 1.1977,                 2.5644,                 1.0075,                  1.342,                0.77766,                0.71457,                0.77032,                0.57776,                0.77453,                0.71175,                0.76299,                0.55605,                    nan,                    nan,                    nan,                    nan,              0.0013919,              0.0013919,              0.0013919
                      8,                 1.1744,                  2.531,                0.98641,                 1.3228,                0.74677,                0.75219,                0.78504,                0.59663,                0.75407,                0.74945,                0.78768,                0.57876,                    nan,                    nan,                    nan,                    nan,              0.0013369,              0.0013369,              0.0013369
                      9,                 1.1582,                 2.5053,                0.94857,                 1.3134,                0.75867,                0.76101,                 0.7885,                0.60226,                0.76437,                0.76635,                0.79385,                0.57939,                    nan,                    nan,                    nan,                    nan,              0.0012819,              0.0012819,              0.0012819
                     10,                 1.1361,                   2.46,                0.92718,                  1.293,                0.70683,                0.77684,                0.75189,                0.57477,                 0.7035,                0.77172,                0.75272,                 0.5527,                    nan,                    nan,                    nan,                    nan,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.1283,                  2.448,                0.90437,                 1.2917,                0.76169,                0.75549,                0.79547,                0.62077,                0.75708,                0.74958,                0.79255,                0.59425,                    nan,                    nan,                    nan,                    nan,              0.0011719,              0.0011719,              0.0011719
                     12,                 1.0934,                 2.4068,                0.89305,                 1.2719,                 0.7166,                0.80381,                0.79311,                0.61591,                0.70854,                0.80631,                0.79114,                0.59406,                    nan,                    nan,                    nan,                    nan,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.0797,                  2.375,                0.89069,                 1.2597,                0.75704,                0.77609,                0.81694,                0.63875,                0.79723,                0.74443,                 0.8176,                0.61248,                    nan,                    nan,                    nan,                    nan,              0.0010619,              0.0010619,              0.0010619
                     14,                 1.0665,                  2.355,                0.84407,                 1.2499,                0.77144,                0.76847,                0.81558,                0.64612,                0.78684,                0.75691,                0.81451,                0.62155,                    nan,                    nan,                    nan,                    nan,              0.0010069,              0.0010069,              0.0010069
                     15,                 1.0536,                 2.3071,                0.83489,                 1.2425,                0.77227,                0.73956,                0.79392,                0.62445,                0.77385,                0.74323,                0.79418,                0.59761,                    nan,                    nan,                    nan,                    nan,             0.00095186,             0.00095186,             0.00095186
                     16,                 1.0425,                 2.2838,                0.82056,                 1.2251,                0.74707,                0.79472,                0.78089,                0.62091,                 0.7594,                0.76314,                0.77385,                0.59128,                    nan,                    nan,                    nan,                    nan,             0.00089685,             0.00089685,             0.00089685
                     17,                 1.0333,                 2.2708,                0.80595,                 1.2237,                0.74643,                0.79059,                0.79617,                0.64236,                0.73597,                  0.801,                0.79344,                0.61863,                    nan,                    nan,                    nan,                    nan,             0.00084184,             0.00084184,             0.00084184
                     18,                 1.0147,                 2.2171,                0.79187,                  1.217,                0.78889,                 0.7684,                0.80343,                0.63867,                0.80042,                0.75102,                0.80123,                 0.6143,                    nan,                    nan,                    nan,                    nan,             0.00078682,             0.00078682,             0.00078682
                     19,                 1.0094,                 2.2108,                0.77863,                 1.2106,                0.77572,                0.79735,                0.81586,                 0.6604,                0.77523,                0.79612,                 0.8138,                0.63311,                    nan,                    nan,                    nan,                    nan,             0.00073181,             0.00073181,             0.00073181
                     20,                0.98765,                 2.1895,                 0.7668,                 1.2025,                0.77928,                 0.7739,                0.80597,                0.64729,                0.78736,                0.76475,                0.80455,                0.62638,                    nan,                    nan,                    nan,                    nan,              0.0006768,              0.0006768,              0.0006768
                     21,                0.92186,                 2.0967,                0.67964,                 1.1741,                0.78887,                  0.783,                0.82302,                0.66864,                0.78708,                0.78154,                0.82354,                0.65289,                    nan,                    nan,                    nan,                    nan,             0.00062179,             0.00062179,             0.00062179
                     22,                0.89645,                 2.0581,                0.65721,                 1.1605,                0.80578,                0.76465,                0.83194,                0.67922,                0.79218,                0.77711,                0.82902,                0.65477,                    nan,                    nan,                    nan,                    nan,             0.00056678,             0.00056678,             0.00056678
                     23,                0.88947,                  2.006,                 0.6362,                 1.1561,                0.75595,                0.79676,                0.80307,                0.65441,                 0.7568,                0.79736,                0.80173,                 0.6288,                    nan,                    nan,                    nan,                    nan,             0.00051177,             0.00051177,             0.00051177
                     24,                0.86539,                 1.9623,                0.61795,                 1.1352,                0.82331,                0.76872,                0.83492,                0.68405,                0.82387,                0.77019,                0.83431,                0.66124,                    nan,                    nan,                    nan,                    nan,             0.00045676,             0.00045676,             0.00045676
                     25,                 0.8438,                 1.9301,                 0.6018,                 1.1242,                0.76866,                0.82641,                0.83114,                0.68065,                0.77559,                0.81805,                0.83053,                0.65036,                    nan,                    nan,                    nan,                    nan,             0.00040175,             0.00040175,             0.00040175
                     26,                0.83264,                 1.8917,                0.59115,                  1.114,                0.79666,                0.79084,                0.83604,                 0.6951,                0.79433,                0.80026,                0.83804,                0.66811,                    nan,                    nan,                    nan,                    nan,             0.00034674,             0.00034674,             0.00034674
                     27,                0.81444,                 1.8602,                0.57136,                 1.1002,                0.79118,                0.80567,                0.83604,                0.69629,                0.79274,                0.80763,                0.83672,                0.66977,                    nan,                    nan,                    nan,                    nan,             0.00029172,             0.00029172,             0.00029172
                     28,                0.80041,                 1.8413,                0.55685,                 1.0987,                0.85338,                0.76449,                0.84179,                0.70053,                0.84399,                0.77193,                0.83987,                0.67399,                    nan,                    nan,                    nan,                    nan,             0.00023671,             0.00023671,             0.00023671
                     29,                0.77575,                 1.7826,                0.53803,                 1.0731,                0.79236,                 0.7932,                0.83577,                0.69689,                0.81212,                0.77138,                0.83356,                0.66832,                    nan,                    nan,                    nan,                    nan,              0.0001817,              0.0001817,              0.0001817
                     30,                0.76693,                 1.7695,                0.52823,                 1.0737,                0.78124,                0.81648,                0.83885,                 0.7016,                0.79543,                0.79534,                0.83837,                0.67161,                    nan,                    nan,                    nan,                    nan,             0.00012669,             0.00012669,             0.00012669
